format, deserializerTime, limit, loaderTime, dataLength, dataLoader, deserializer, 
xml, 0.02347201108932495, 150, 0.1387829780578613, 79716, NSURLConnection, TBXML, 
xml, 0.02898597717285156, 200, 0.1600009799003601, 105851, NSURLConnection, TBXML, 
xml, 0.0217130184173584, 50, 0.1145949959754944, 26568, NSURLConnection, KissXML, 
xml, 0.04001796245574951, 100, 0.1343440413475037, 52529, NSURLConnection, KissXML, 
xml, 0.05503296852111816, 150, 0.1514890193939209, 79526, NSURLConnection, KissXML, 
xml, 0.07450997829437256, 200, 0.1749119758605957, 105638, NSURLConnection, KissXML, 
xml, 0.05204397439956665, 50, 0.1376869678497314, 26367, NSURLConnection, TinyXML, 
xml, 0.1002799868583679, 100, 0.1281079649925232, 53012, NSURLConnection, TinyXML, 
xml, 0.1463900208473206, 150, 0.1310909986495972, 79216, NSURLConnection, TinyXML, 
xml, 0.1953110098838806, 200, 0.1950479745864868, 106040, NSURLConnection, TinyXML, 
xml, 0.02199500799179077, 50, 0.1172459721565247, 26917, NSURLConnection, GoogleXML, 
xml, 0.04178100824356079, 100, 0.1196500062942505, 52898, NSURLConnection, GoogleXML, 
xml, 0.06772696971893311, 150, 0.1589940190315247, 79273, NSURLConnection, GoogleXML, 
xml, 0.08463698625564575, 200, 0.1516819596290588, 106057, NSURLConnection, GoogleXML, 
xml, 0.03624904155731201, 50, 0.1198559999465942, 26509, NSURLConnection, APXML, 
xml, 0.0677800178527832, 100, 0.132082998752594, 53076, NSURLConnection, APXML, 
xml, 0.09843200445175171, 150, 0.1471239924430847, 79213, NSURLConnection, APXML, 
xml, 0.1265720129013062, 200, 0.179889976978302, 105909, NSURLConnection, APXML, 
pbuf, 0.01319599151611328, 50, 0.1443989872932434, 13955, NSURLConnection, ProtocolBuffer, 
pbuf, 0.01870596408843994, 100, 0.1261129975318909, 27227, NSURLConnection, ProtocolBuffer, 
pbuf, 0.02753698825836182, 150, 0.1597119569778442, 41420, NSURLConnection, ProtocolBuffer, 
pbuf, 0.03256601095199585, 200, 0.1699599623680115, 54890, NSURLConnection, ProtocolBuffer, 
xml, 0.03497403860092163, 50, 0.1158199906349182, 26406, NSURLConnection, AQXMLParser, 
xml, 0.061195969581604, 100, 0.1479420065879822, 52978, NSURLConnection, AQXMLParser, 
xml, 0.09122699499130249, 150, 0.1640509963035583, 79155, NSURLConnection, AQXMLParser, 
xml, 0.1215029954910278, 200, 0.1694110035896301, 105221, NSURLConnection, AQXMLParser, 
json, 0.02352100610733032, 50, 0.1224080324172974, 21526, ASIHTTPRequest, TouchJSON, 
json, 0.04403001070022583, 100, 0.1173549890518188, 43405, ASIHTTPRequest, TouchJSON, 
json, 0.06363201141357422, 150, 0.1183969974517822, 64081, ASIHTTPRequest, TouchJSON, 
json, 0.08497601747512817, 200, 0.1344689726829529, 85695, ASIHTTPRequest, TouchJSON, 
json, 0.01740700006484985, 50, 0.1056349873542786, 21295, ASIHTTPRequest, SBJSON, 
json, 0.03257501125335693, 100, 0.1105430126190186, 43361, ASIHTTPRequest, SBJSON, 
json, 0.04591596126556396, 150, 0.1230340003967285, 64858, ASIHTTPRequest, SBJSON, 
json, 0.05482602119445801, 200, 0.1243669986724854, 86254, ASIHTTPRequest, SBJSON, 
json, 0.01091295480728149, 50, 0.1052689552307129, 21275, ASIHTTPRequest, JSONKit, 
json, 0.01400500535964966, 100, 0.1212390065193176, 42610, ASIHTTPRequest, JSONKit, 
json, 0.02435398101806641, 150, 0.1249420046806335, 64790, ASIHTTPRequest, JSONKit, 
json, 0.03189599514007568, 200, 0.1306590437889099, 85843, ASIHTTPRequest, JSONKit, 
json, 0.01038599014282227, 50, 0.1181679964065552, 21878, ASIHTTPRequest, YAJL, 
json, 0.01649099588394165, 100, 0.1172620058059692, 43054, ASIHTTPRequest, YAJL, 
json, 0.02511501312255859, 150, 0.1324410438537598, 63793, ASIHTTPRequest, YAJL, 
json, 0.03201597929000854, 200, 0.1321150064468384, 85862, ASIHTTPRequest, YAJL, 
json, 0.127564013004303, 50, 0.1032059788703918, 21510, ASIHTTPRequest, BSJSON, 
json, 0.2493759989738464, 100, 0.1193780303001404, 42731, ASIHTTPRequest, BSJSON, 
json, 0.3747450113296509, 150, 0.5511659979820251, 64054, ASIHTTPRequest, BSJSON, 
json, 0.4990779757499695, 200, 0.2433670163154602, 85894, ASIHTTPRequest, BSJSON, 
yaml, 0.03306502103805542, 50, 0.2012289762496948, 23046, ASIHTTPRequest, YAML, 
yaml, 0.06065499782562256, 100, 0.1372569799423218, 46393, ASIHTTPRequest, YAML, 
yaml, 0.09194004535675049, 150, 0.1505119800567627, 69599, ASIHTTPRequest, YAML, 
yaml, 0.1216540336608887, 200, 0.1638409495353699, 94187, ASIHTTPRequest, YAML, 
binplist, 0.005235016345977783, 50, 0.1482920050621033, 17739, ASIHTTPRequest, BinaryPlist, 
binplist, 0.009405970573425293, 100, 0.2023339867591858, 35123, ASIHTTPRequest, BinaryPlist, 
binplist, 0.01306802034378052, 150, 0.2343890070915222, 51688, ASIHTTPRequest, BinaryPlist, 
binplist, 0.01552397012710571, 200, 0.2785679697990417, 68072, ASIHTTPRequest, BinaryPlist, 
xmlplist, 0.008358001708984375, 50, 0.1250789761543274, 37830, ASIHTTPRequest, XMLPlist, 
xmlplist, 0.01990604400634766, 100, 0.1412679553031921, 75050, ASIHTTPRequest, XMLPlist, 
xmlplist, 0.03041398525238037, 150, 0.1679289937019348, 112401, ASIHTTPRequest, XMLPlist, 
xmlplist, 0.03672999143600464, 200, 0.1971579790115356, 150390, ASIHTTPRequest, XMLPlist, 
xmlplistformatted, 0.0130000114440918, 50, 0.1262689828872681, 48032, ASIHTTPRequest, XMLFormattedPlist, 
xmlplistformatted, 0.02165603637695312, 100, 0.1747839450836182, 96507, ASIHTTPRequest, XMLFormattedPlist, 
xmlplistformatted, 0.0267680287361145, 150, 0.1664400100708008, 143255, ASIHTTPRequest, XMLFormattedPlist, 
xmlplistformatted, 0.03800100088119507, 200, 0.1977300047874451, 191052, ASIHTTPRequest, XMLFormattedPlist, 
