format, deserializerTime, limit, loaderTime, dataLength, dataLoader, deserializer, 
xml, 0.02579694986343384, 150, 0.5061550140380859, 79321, NSURLConnection, TBXML, 
xml, 0.03321003913879395, 200, 0.5741239786148071, 106286, NSURLConnection, TBXML, 
xml, 0.02409601211547852, 50, 0.2417280077934265, 26343, NSURLConnection, KissXML, 
xml, 0.0403369665145874, 100, 0.3723010420799255, 52709, NSURLConnection, KissXML, 
xml, 0.05843204259872437, 150, 0.4876609444618225, 79170, NSURLConnection, KissXML, 
xml, 0.07705497741699219, 200, 0.5786460041999817, 105903, NSURLConnection, KissXML, 
xml, 0.05334001779556274, 50, 0.2900059819221497, 26471, NSURLConnection, TinyXML, 
xml, 0.1008050441741943, 100, 0.3822210431098938, 52849, NSURLConnection, TinyXML, 
xml, 0.1490520238876343, 150, 0.4685750007629395, 80014, NSURLConnection, TinyXML, 
xml, 0.1987399458885193, 200, 0.5869700312614441, 106406, NSURLConnection, TinyXML, 
xml, 0.02849400043487549, 50, 0.2923280000686646, 26481, NSURLConnection, GoogleXML, 
xml, 0.04672998189926147, 100, 0.3674300312995911, 52947, NSURLConnection, GoogleXML, 
xml, 0.06980699300765991, 150, 0.469158947467804, 79655, NSURLConnection, GoogleXML, 
xml, 0.0871729850769043, 200, 0.7259420156478882, 105575, NSURLConnection, GoogleXML, 
xml, 0.03701597452163696, 50, 0.3594119548797607, 26259, NSURLConnection, APXML, 
xml, 0.06920802593231201, 100, 0.3721840381622314, 52785, NSURLConnection, APXML, 
xml, 0.09991401433944702, 150, 0.5181670188903809, 79502, NSURLConnection, APXML, 
xml, 0.1316949725151062, 200, 0.575206995010376, 105980, NSURLConnection, APXML, 
pbuf, 0.01871800422668457, 50, 0.2765299677848816, 13558, NSURLConnection, ProtocolBuffer, 
pbuf, 0.01983898878097534, 100, 0.2980620265007019, 27491, NSURLConnection, ProtocolBuffer, 
pbuf, 0.02755701541900635, 150, 0.3775419592857361, 41302, NSURLConnection, ProtocolBuffer, 
pbuf, 0.03457003831863403, 200, 0.4602710008621216, 54910, NSURLConnection, ProtocolBuffer, 
xml, 0.03716200590133667, 50, 0.2836650013923645, 26704, NSURLConnection, AQXMLParser, 
xml, 0.06342101097106934, 100, 0.4189990162849426, 52952, NSURLConnection, AQXMLParser, 
xml, 0.0920950174331665, 150, 0.5232980251312256, 79203, NSURLConnection, AQXMLParser, 
xml, 0.1245560050010681, 200, 0.5354909896850586, 105248, NSURLConnection, AQXMLParser, 
json, 0.0236859917640686, 50, 0.4507740139961243, 21322, ASIHTTPRequest, TouchJSON, 
json, 0.04340898990631104, 100, 0.3187440037727356, 42722, ASIHTTPRequest, TouchJSON, 
json, 0.06334000825881958, 150, 0.4512870311737061, 64398, ASIHTTPRequest, TouchJSON, 
json, 0.08244997262954712, 200, 0.5239240527153015, 86170, ASIHTTPRequest, TouchJSON, 
json, 0.01761901378631592, 50, 0.2347570061683655, 21360, ASIHTTPRequest, SBJSON, 
json, 0.03087794780731201, 100, 0.3392040133476257, 43310, ASIHTTPRequest, SBJSON, 
json, 0.04447799921035767, 150, 0.426243007183075, 65084, ASIHTTPRequest, SBJSON, 
json, 0.05724096298217773, 200, 0.5538269877433777, 86118, ASIHTTPRequest, SBJSON, 
json, 0.01101696491241455, 50, 0.2587990164756775, 21586, ASIHTTPRequest, JSONKit, 
json, 0.01774501800537109, 100, 0.3269180059432983, 43236, ASIHTTPRequest, JSONKit, 
json, 0.02505302429199219, 150, 0.4203590154647827, 64488, ASIHTTPRequest, JSONKit, 
json, 0.032429039478302, 200, 0.5215790271759033, 86097, ASIHTTPRequest, JSONKit, 
json, 0.011322021484375, 50, 0.2443609833717346, 21674, ASIHTTPRequest, YAJL, 
json, 0.01846599578857422, 100, 0.3756679892539978, 42940, ASIHTTPRequest, YAJL, 
json, 0.02512204647064209, 150, 0.4307600259780884, 64574, ASIHTTPRequest, YAJL, 
json, 0.03249001502990723, 200, 0.5113060474395752, 85763, ASIHTTPRequest, YAJL, 
json, 0.1285749673843384, 50, 0.2558160424232483, 21307, ASIHTTPRequest, BSJSON, 
json, 0.2538580298423767, 100, 0.3462290167808533, 43096, ASIHTTPRequest, BSJSON, 
json, 0.3777170181274414, 150, 0.4739689826965332, 64224, ASIHTTPRequest, BSJSON, 
json, 0.5010839700698853, 200, 0.5883449912071228, 85588, ASIHTTPRequest, BSJSON, 
yaml, 0.0349469780921936, 50, 0.2775959968566895, 23476, ASIHTTPRequest, YAML, 
yaml, 0.06395000219345093, 100, 0.3622869849205017, 46873, ASIHTTPRequest, YAML, 
yaml, 0.0934150218963623, 150, 0.4428179860115051, 70690, ASIHTTPRequest, YAML, 
yaml, 0.1229249835014343, 200, 0.5247939825057983, 92278, ASIHTTPRequest, YAML, 
binplist, 0.005554020404815674, 50, 0.283769965171814, 17531, ASIHTTPRequest, BinaryPlist, 
binplist, 0.00946199893951416, 100, 0.3903090357780457, 34163, ASIHTTPRequest, BinaryPlist, 
binplist, 0.01224201917648315, 150, 0.4671189785003662, 51649, ASIHTTPRequest, BinaryPlist, 
binplist, 0.01324701309204102, 200, 0.567126989364624, 67363, ASIHTTPRequest, BinaryPlist, 
xmlplist, 0.01252001523971558, 50, 0.3228830099105835, 37851, ASIHTTPRequest, XMLPlist, 
xmlplist, 0.02024799585342407, 100, 0.4444860219955444, 75411, ASIHTTPRequest, XMLPlist, 
xmlplist, 0.0295950174331665, 150, 3.866925001144409, 113438, ASIHTTPRequest, XMLPlist, 
xmlplist, 0.03722798824310303, 200, 1.179394006729126, 150537, ASIHTTPRequest, XMLPlist, 
xmlplistformatted, 0.01253199577331543, 50, 0.3772709965705872, 47800, ASIHTTPRequest, XMLFormattedPlist, 
xmlplistformatted, 0.02164000272750854, 100, 0.6059589982032776, 95555, ASIHTTPRequest, XMLFormattedPlist, 
xmlplistformatted, 0.03140503168106079, 150, 0.7556909918785095, 143832, ASIHTTPRequest, XMLFormattedPlist, 
xmlplistformatted, 0.0394890308380127, 200, 0.8956350088119507, 191365, ASIHTTPRequest, XMLFormattedPlist, 
xml, 0.02710902690887451, 50, 0.2489830255508423, 26228, ASIHTTPRequest, NSXMLParser, 
xml, 0.05233103036880493, 100, 0.3705740571022034, 52927, ASIHTTPRequest, NSXMLParser, 
xml, 0.07835197448730469, 150, 0.4934960007667542, 79557, ASIHTTPRequest, NSXMLParser, 
